ordre;famille;cd_nom;lb_nom;nom_vern;habitat;statut;url
Passeriformes;Tyrannidae;782444;Conopias albovittatus parvus;Tyran de Pelzeln;3;;https://inpn.mnhn.fr/espece/cd_nom/782444
Passeriformes;Tyrannidae;441805;Conopias parva;Tyran de Pelzeln;3;;https://inpn.mnhn.fr/espece/cd_nom/441805
Passeriformes;Tyrannidae;782443;Pitangus parvus;Tyran de Pelzeln;3;;https://inpn.mnhn.fr/espece/cd_nom/782443
Passeriformes;Tyrannidae;441807;Contopus albogularis;Moucherolle à bavette blanche ;3;;https://inpn.mnhn.fr/espece/cd_nom/441807
Passeriformes;Tyrannidae;441808;Contopus cinereus;Moucherolle cendré ;3;;https://inpn.mnhn.fr/espece/cd_nom/441808
Passeriformes;Tyrannidae;829170;Platyrhynchus cinereus;Moucherolle cendré ;3;;https://inpn.mnhn.fr/espece/cd_nom/829170
Passeriformes;Tyrannidae;829171;Contopus cinereus surinamensis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829171
Passeriformes;Tyrannidae;441809;Contopus cooperi;Moucherolle à côtés olive;3;;https://inpn.mnhn.fr/espece/cd_nom/441809
Passeriformes;Tyrannidae;645517;Contopus borealis;Moucherolle à côtés olive;3;;https://inpn.mnhn.fr/espece/cd_nom/645517
Passeriformes;Tyrannidae;441810;Contopus latirostris;Moucherolle gobe-mouches, Gobe-mouches, Loulou fou, Tombé lévé;3;;https://inpn.mnhn.fr/espece/cd_nom/441810
Passeriformes;Tyrannidae;720231;Contopus sordidulus;Pioui de l'Ouest;3;;https://inpn.mnhn.fr/espece/cd_nom/720231
Passeriformes;Tyrannidae;441811;Contopus virens;;3;;https://inpn.mnhn.fr/espece/cd_nom/441811
Passeriformes;Tyrannidae;459476;Corythopis torquatus;Corythopis à collier ;3;;https://inpn.mnhn.fr/espece/cd_nom/459476
Passeriformes;Tyrannidae;441820;Corythopis torquata;Corythopis à collier ;3;;https://inpn.mnhn.fr/espece/cd_nom/441820
Passeriformes;Tyrannidae;829038;Corythopis torquatus anthoides;;3;;https://inpn.mnhn.fr/espece/cd_nom/829038
Passeriformes;Tyrannidae;829039;Muscicapa anthoïdes;;3;;https://inpn.mnhn.fr/espece/cd_nom/829039
Passeriformes;Tyrannidae;441882;Elaenia chiriquensis;Élénie menue ;3;;https://inpn.mnhn.fr/espece/cd_nom/441882
Passeriformes;Tyrannidae;828853;Elaenia chiriquensis albivertex;;3;;https://inpn.mnhn.fr/espece/cd_nom/828853
Passeriformes;Tyrannidae;441883;Elaenia cristata;Élénie huppée ;3;;https://inpn.mnhn.fr/espece/cd_nom/441883
Passeriformes;Tyrannidae;441884;Elaenia flavogaster;Élénie à ventre jaune;3;;https://inpn.mnhn.fr/espece/cd_nom/441884
Passeriformes;Tyrannidae;441885;Elaenia martinica;Élaène siffleuse, Siffleur blanc, Élénie siffleuse;3;;https://inpn.mnhn.fr/espece/cd_nom/441885
Passeriformes;Tyrannidae;813816;Muscicapa martinica;Élaène siffleuse, Siffleur blanc, Élénie siffleuse;3;;https://inpn.mnhn.fr/espece/cd_nom/813816
Passeriformes;Tyrannidae;653921;Elaenia martinica riisii;;3;;https://inpn.mnhn.fr/espece/cd_nom/653921
